# Elastic line measurement
# Soleil March/2017
# Energy = 849.87 eV
# pixel 	 data 	 fit
1.692500e+02 -2.433744e+02 4.834266e+02
1.697500e+02 -4.956744e+01 4.834266e+02
1.702500e+02 -1.247605e+02 4.834266e+02
1.707500e+02 -4.595351e+01 4.834266e+02
1.712500e+02 4.785345e+01 4.834266e+02
1.717500e+02 -1.743396e+02 4.834266e+02
1.722500e+02 -1.895326e+02 4.834266e+02
1.727500e+02 -7.272566e+01 4.834266e+02
1.732500e+02 -4.591870e+01 4.834266e+02
1.737500e+02 -3.311174e+01 4.834266e+02
1.742500e+02 -1.153048e+02 4.834266e+02
1.747500e+02 -1.904978e+02 4.834266e+02
1.752500e+02 -1.256909e+02 4.834266e+02
1.757500e+02 1.911611e+01 4.834266e+02
1.762500e+02 -5.507693e+01 4.834266e+02
1.767500e+02 -5.726996e+01 4.834266e+02
1.772500e+02 -1.904630e+02 4.834266e+02
1.777500e+02 -1.006560e+02 4.834266e+02
1.782500e+02 -2.498491e+02 4.834266e+02
1.787500e+02 -3.104212e+01 4.834266e+02
1.792500e+02 -2.592352e+02 4.834266e+02
1.797500e+02 -7.342819e+01 4.834266e+02
1.802500e+02 -1.876212e+02 4.834266e+02
1.807500e+02 -2.688143e+02 4.834266e+02
1.812500e+02 -2.380073e+02 4.834266e+02
1.817500e+02 -1.762003e+02 4.834266e+02
1.822500e+02 -2.293934e+02 4.834266e+02
1.827500e+02 -1.458642e+01 4.834266e+02
1.832500e+02 -1.697795e+02 4.834266e+02
1.837500e+02 -1.109725e+02 4.834266e+02
1.842500e+02 -2.101655e+02 4.834266e+02
1.847500e+02 -6.835857e+01 4.834266e+02
1.852500e+02 -6.155160e+01 4.834266e+02
1.857500e+02 -1.107446e+02 4.834266e+02
1.862500e+02 -3.937679e+00 4.834266e+02
1.867500e+02 -3.913072e+01 4.834266e+02
1.872500e+02 -1.373238e+02 4.834266e+02
1.877500e+02 -1.835168e+02 4.834266e+02
1.882500e+02 -1.157098e+02 4.834266e+02
1.887500e+02 -2.129029e+02 4.834266e+02
1.892500e+02 -3.480959e+02 4.834266e+02
1.897500e+02 -3.828894e+01 4.834266e+02
1.902500e+02 -2.914820e+02 4.834266e+02
1.907500e+02 -5.067502e+01 4.834266e+02
1.912500e+02 -1.618681e+02 4.834266e+02
1.917500e+02 -6.109203e-02 4.834266e+02
1.922500e+02 -3.032541e+02 4.834266e+02
1.927500e+02 -1.284472e+02 4.834266e+02
1.932500e+02 -4.640205e+00 4.834266e+02
1.937500e+02 -9.683324e+01 4.834266e+02
1.942500e+02 -4.402628e+01 4.834266e+02
1.947500e+02 -8.321932e+01 4.834266e+02
1.952500e+02 -1.114124e+02 4.834266e+02
1.957500e+02 -1.886054e+02 4.834266e+02
1.962500e+02 1.820157e+01 4.834266e+02
1.967500e+02 -1.349915e+02 4.834266e+02
1.972500e+02 -2.231845e+02 4.834266e+02
1.977500e+02 -1.323775e+02 4.834266e+02
1.982500e+02 -1.535706e+02 4.834266e+02
1.987500e+02 -3.676362e+01 4.834266e+02
1.992500e+02 -2.209567e+02 4.834266e+02
1.997500e+02 -2.514969e+01 4.834266e+02
2.002500e+02 -8.134273e+01 4.834266e+02
2.007500e+02 -5.153577e+01 4.834266e+02
2.012500e+02 -1.917288e+02 4.834266e+02
2.017500e+02 -1.819218e+02 4.834266e+02
